node,book,chapter,verse,pharse,verb_lex,verb_tense,verb_stem,alg_freq 
1661,Genesis,3,24,Objc,CMR[,infc,qal,468 
2818,Genesis,6,12,Objc,CXT[,perf,hif, 
8131,Genesis,18,19,Objc,CMR[,perf,qal,468 
8468,Genesis,19,2,Cmpl,HLK[,perf,qal,1554 
11534,Genesis,24,21,Objc,YLX[,perf,hif, 
11633,Genesis,24,27,Cmpl,NXH[,perf,qal, 
11881,Genesis,24,40,Objc,YLX[,perf,hif, 
11928,Genesis,24,42,Objc,YLX[,ptca,hif, 
12068,Genesis,24,48,Cmpl,NXH[,perf,hif, 
12221,Genesis,24,56,Objc,YLX[,perf,hif, 
14898,Genesis,28,20,Cmpl,CMR[,perf,qal,468 
16202,Genesis,30,36,Objc,FJM[,wayq,qal,609 
17456,Genesis,32,2,Cmpl,HLK[,perf,qal,1554 
18371,Genesis,33,16,Cmpl,CWB[,wayq,qal,1038 
19404,Genesis,35,19,Cmpl,QBR[,wayq,nif, 
21107,Genesis,38,16,Cmpl,NVH[,wayq,qal, 
23864,Genesis,42,25,Objc,NTN[,infc,qal,2017 
25854,Genesis,45,21,Objc,NTN[,wayq,qal,2017 
25894,Genesis,45,23,Objc,NF>[,ptca,qal,656 
25915,Genesis,45,24,Cmpl,RGZ[,impf,qal, 
36112,Exodus,13,17,Objc,NXH[,perf,qal, 
36134,Exodus,13,18,Cmpl,SBB[,wayq,hif, 
36200,Exodus,13,21,Objc,NXH[,infc,hif, 
38887,Exodus,18,20,Objc,JD<[,perf,hif,991 
46660,Exodus,32,8,Cmpl,SWR[,perf,qal,297 
47586,Exodus,33,13,Objc,JD<[,impv,hif,991 
68524,Leviticus,26,22,Subj,CMM[,perf,nif, 
82897,Numbers,20,17,Cmpl,HLK[,impf,qal,1554 
83135,Numbers,21,1,Cmpl,BW>[,perf,qal,2570 
83208,Numbers,21,4,Cmpl,QYR[,wayq,qal, 
83544,Numbers,21,22,Cmpl,HLK[,impf,qal,1554 
83733,Numbers,21,33,Cmpl,<LH[,wayq,qal,890 
84248,Numbers,22,22,Cmpl,JYB[,wayq,hit, 
84273,Numbers,22,23,Cmpl,NYB[,ptca,nif, 
84283,Numbers,22,23,Cmpl,NVH[,wayq,qal, 
84301,Numbers,22,23,Cmpl,NVH[,infc,hif, 
84461,Numbers,22,31,Cmpl,NYB[,ptca,nif, 
84495,Numbers,22,32,Subj,JRV[,perf,qal, 
85617,Numbers,24,25,Cmpl,HLK[,perf,qal,1554 
90802,Numbers,33,8,Objc,HLK[,wayq,qal,1554 
93187,Deuteronomy,1,19,Objc,HLK[,wayq,qal,1554 
93268,Deuteronomy,1,22,Objc,CWB[,impf,hif,1038 
93486,Deuteronomy,1,33,Cmpl,R>H[,infc,hif,1298 
93879,Deuteronomy,2,8,Cmpl,<BR[,wayq,qal,548 
94263,Deuteronomy,2,27,Cmpl,HLK[,impf,qal,1554 
94488,Deuteronomy,3,1,Cmpl,<LH[,wayq,qal,890 
96949,Deuteronomy,5,33,Cmpl,HLK[,impf,qal,1554 
97092,Deuteronomy,6,7,Cmpl,HLK[,infc,qal,1554 
98024,Deuteronomy,8,2,Objc,ZKR[,perf,qal,231 
98124,Deuteronomy,8,6,Cmpl,HLK[,infc,qal,1554 
98722,Deuteronomy,9,12,Cmpl,SWR[,perf,qal,297 
98805,Deuteronomy,9,16,Cmpl,SWR[,perf,qal,297 
99401,Deuteronomy,10,12,Cmpl,HLK[,infc,qal,1554 
100006,Deuteronomy,11,19,Cmpl,HLK[,infc,qal,1554 
100070,Deuteronomy,11,22,Cmpl,HLK[,infc,qal,1554 
100185,Deuteronomy,11,28,Cmpl,SWR[,perf,qal,297 
101158,Deuteronomy,13,6,Cmpl,NDX[,infc,hif, 
101833,Deuteronomy,14,24,Subj,RBH[,impf,qal, 
103343,Deuteronomy,17,16,Cmpl,CWB[,infc,qal,1038 
103906,Deuteronomy,19,3,Objc,KWN[,impf,hif, 
104009,Deuteronomy,19,6,Subj,RBH[,impf,qal, 
104085,Deuteronomy,19,9,Cmpl,HLK[,infc,qal,1554 
105360,Deuteronomy,22,4,Cmpl,NPL[,ptca,qal,445 
107590,Deuteronomy,26,17,Cmpl,HLK[,infc,qal,1554 
108251,Deuteronomy,28,9,Cmpl,HLK[,perf,qal,1554 
108657,Deuteronomy,28,29,Objc,YLX[,impf,hif, 
110520,Deuteronomy,30,16,Cmpl,HLK[,infc,qal,1554 
111398,Deuteronomy,31,29,Cmpl,SWR[,perf,qal,297 
113114,Joshua,1,8,Objc,YLX[,impf,hif, 
113749,Joshua,2,16,Cmpl,HLK[,impf,qal,1554 
113882,Joshua,2,22,Cmpl,BQC[,wayq,piel, 
114026,Joshua,3,4,Objc,JD<[,impf,qal,991 
114035,Joshua,3,4,Cmpl,<BR[,perf,qal,548 
117192,Joshua,8,15,Cmpl,NWS[,wayq,qal, 
117973,Joshua,9,11,Objc,LQX[,impv,qal,965 
125347,Joshua,22,5,Cmpl,HLK[,infc,qal,1554 
126514,Joshua,23,14,Cmpl,HLK[,ptca,qal,1554 
127092,Joshua,24,17,Cmpl,CMR[,wayq,qal,468 
128557,Judges,2,17,Cmpl,SWR[,perf,qal,297 
128626,Judges,2,19,Cmpl,NPL[,perf,hif,445 
128683,Judges,2,22,Objc,CMR[,ptca,qal,468 
130090,Judges,5,10,Cmpl,HLK[,ptca,qal,1554 
132366,Judges,8,11,Cmpl,<LH[,wayq,qal,890 
133672,Judges,9,37,Cmpl,BW>[,ptca,qal,2570 
138181,Judges,17,8,Objc,<FH[,infc,qal,2629 
138433,Judges,18,5,Subj,YLX[,impf,hif, 
138931,Judges,18,26,Cmpl,HLK[,wayq,qal,1554 
139316,Judges,19,9,Cmpl,CKM[,perf,hif, 
139787,Judges,19,27,Cmpl,HLK[,infc,qal,1554 
140843,Judges,20,42,Cmpl,PNH[,wayq,qal, 
141887,1_Samuel,1,18,Cmpl,HLK[,wayq,qal,1554 
144333,1_Samuel,6,9,Cmpl,<LH[,impf,qal,890 
144403,1_Samuel,6,12,Cmpl,JCR[,wayq,qal, 
145117,1_Samuel,8,3,Cmpl,HLK[,perf,qal,1554 
145152,1_Samuel,8,5,Cmpl,HLK[,perf,qal,1554 
145639,1_Samuel,9,6,Objc,NGD[,impf,hif,371 
145701,1_Samuel,9,8,Objc,NGD[,perf,hif,371 
147749,1_Samuel,12,23,Cmpl,JRH[,perf,hif, 
148179,1_Samuel,13,17,Cmpl,PNH[,impf,qal, 
148190,1_Samuel,13,18,Cmpl,PNH[,impf,qal, 
148197,1_Samuel,13,18,Cmpl,PNH[,impf,qal, 
149566,1_Samuel,15,2,Cmpl,FJM[,perf,qal,609 
149918,1_Samuel,15,18,Cmpl,CLX[,wayq,qal,861 
149968,1_Samuel,15,20,Cmpl,HLK[,wayq,qal,1554 
152034,1_Samuel,17,52,Cmpl,NPL[,wayq,qal,445 
152441,1_Samuel,18,14,Cmpl,HJH[,wayq,qal,3561 
152446,1_Samuel,18,14,Cmpl,FKL[,ptca,hif, 
156017,1_Samuel,24,4,Cmpl,BW>[,wayq,qal,2570 
156153,1_Samuel,24,8,Cmpl,HLK[,wayq,qal,1554 
156414,1_Samuel,24,20,Cmpl,CLX[,perf,piel,861 
156741,1_Samuel,25,12,Cmpl,HPK[,wayq,qal, 
158194,1_Samuel,26,25,Cmpl,HLK[,wayq,qal,1554 
159052,1_Samuel,28,22,Cmpl,HLK[,impf,qal,1554 
159488,1_Samuel,30,2,Cmpl,HLK[,wayq,qal,1554 
162767,2_Samuel,4,7,Cmpl,HLK[,wayq,qal,1554 
165927,2_Samuel,11,10,Cmpl,BW>[,ptca,qal,2570 
167922,2_Samuel,13,34,Cmpl,HLK[,ptca,qal,1554 
168899,2_Samuel,15,2,Cmpl,<MD[,perf,qal,521 
169425,2_Samuel,15,23,Cmpl,<BR[,ptca,qal,548 
170063,2_Samuel,16,13,Cmpl,HLK[,wayq,qal,1554 
171667,2_Samuel,18,23,Cmpl,RWY[,wayq,qal, 
174516,2_Samuel,22,22,Objc,CMR[,perf,qal,468 
174624,2_Samuel,22,33,Objc,NTR[,wayq,hif, 
177290,1_Kings,2,2,Cmpl,HLK[,ptca,qal,1554 
177309,1_Kings,2,3,Cmpl,HLK[,infc,qal,1554 
177349,1_Kings,2,4,Objc,CMR[,impf,qal,468 
178716,1_Kings,3,14,Cmpl,HLK[,impf,qal,1554 
182616,1_Kings,8,25,Objc,CMR[,impf,qal,468 
182792,1_Kings,8,32,Objc,NTN[,infc,qal,2017 
182893,1_Kings,8,36,Objc,JRH[,impf,hif, 
183101,1_Kings,8,44,Cmpl,JY>[,impf,qal,1069 
183416,1_Kings,8,58,Cmpl,HLK[,infc,qal,1554 
185604,1_Kings,11,29,Cmpl,MY>[,wayq,qal,453 
185714,1_Kings,11,33,Cmpl,HLK[,perf,qal,1554 
185822,1_Kings,11,38,Cmpl,HLK[,perf,qal,1554 
187030,1_Kings,13,9,Cmpl,CWB[,impf,qal,1038 
187037,1_Kings,13,10,Cmpl,HLK[,wayq,qal,1554 
187043,1_Kings,13,10,Cmpl,CWB[,perf,qal,1038 
187100,1_Kings,13,12,Objc,R>H[,wayq,qal,1298 
187209,1_Kings,13,17,Cmpl,HLK[,infc,qal,1554 
187349,1_Kings,13,24,Cmpl,MY>[,wayq,qal,453 
187357,1_Kings,13,24,Cmpl,HJH[,wayq,qal,3561 
187359,1_Kings,13,24,Cmpl,CLK[,ptcp,hof, 
187415,1_Kings,13,26,Cmpl,CWB[,perf,hif,1038 
187593,1_Kings,13,33,Cmpl,CWB[,perf,qal,1038 
188892,1_Kings,15,26,Cmpl,HLK[,wayq,qal,1554 
189048,1_Kings,15,34,Cmpl,HLK[,wayq,qal,1554 
189084,1_Kings,16,2,Cmpl,HLK[,wayq,qal,1554 
189469,1_Kings,16,19,Cmpl,HLK[,infc,qal,1554 
189616,1_Kings,16,26,Cmpl,HLK[,wayq,qal,1554 
190446,1_Kings,18,6,Cmpl,HLK[,perf,qal,1554 
190454,1_Kings,18,6,Cmpl,HLK[,perf,qal,1554 
191308,1_Kings,18,43,Objc,NBV[,impv,hif, 
191465,1_Kings,19,4,Objc,HLK[,perf,qal,1554 
191755,1_Kings,19,15,Cmpl,CWB[,impv,qal,1038 
192853,1_Kings,20,38,Cmpl,<MD[,wayq,qal,521 
194564,1_Kings,22,43,Cmpl,HLK[,wayq,qal,1554 
194726,1_Kings,22,53,Cmpl,HLK[,wayq,qal,1554 
195785,2_Kings,2,23,Cmpl,<LH[,ptca,qal,890 
196266,2_Kings,3,20,Cmpl,BW>[,ptca,qal,2570 
199366,2_Kings,7,15,Subj,ML>[,ptca,qal,294 
199968,2_Kings,8,18,Cmpl,HLK[,wayq,qal,1554 
200157,2_Kings,8,27,Cmpl,HLK[,wayq,qal,1554 
200904,2_Kings,9,27,Cmpl,NWS[,wayq,qal, 
205083,2_Kings,16,3,Cmpl,HLK[,wayq,qal,1554 
205832,2_Kings,17,13,Cmpl,CWB[,impv,qal,1038 
207987,2_Kings,19,28,Cmpl,CWB[,perf,hif,1038 
208089,2_Kings,19,33,Cmpl,CWB[,impf,qal,1038 
209132,2_Kings,21,21,Cmpl,HLK[,wayq,qal,1554 
