book,chapter,verse,Phrase,verb_lex,verb_tense,verb_stem,prep
426584,2_Chronicles,36,23,Cmpl,HLK[,wayq,qal,B
2821,Genesis,6,12,Objc,CMR[,infc,qal,B
8131,Genesis,18,19,Objc,CXT[,perf,hif,B
8469,Genesis,19,2,Objc,CMR[,perf,qal,B
9107,Genesis,19,31,Cmpl,HLK[,perf,qal,L
11535,Genesis,24,21,Cmpl,BW>[,infc,qal,<L
11631,Genesis,24,27,Objc,YLX[,perf,hif,<L
11881,Genesis,24,40,Cmpl,YLX[,perf,hif,B
11928,Genesis,24,42,Objc,YLX[,perf,hif,B
12069,Genesis,24,48,Objc,YLX[,perf,hif,B
12221,Genesis,24,56,Cmpl,YLX[,perf,hif,B
14900,Genesis,28,20,Objc,YLX[,perf,hif,B
16202,Genesis,30,36,Cmpl,YLX[,perf,hif,B
16783,Genesis,31,23,Cmpl,FJM[,wayq,qal,B
17457,Genesis,32,2,Cmpl,RDP[,wayq,qal,B
18378,Genesis,33,16,Cmpl,HLK[,perf,qal,L
19117,Genesis,35,3,Cmpl,CWB[,wayq,qal,L
19405,Genesis,35,19,Pred,HJH[,wayq,qal,L
21110,Genesis,38,16,Cmpl,QBR[,wayq,nif,B
23868,Genesis,42,25,Cmpl,NVH[,wayq,qal,>L
25858,Genesis,45,21,Objc,NTN[,infc,qal,L
25903,Genesis,45,23,Objc,NTN[,wayq,qal,L
25917,Genesis,45,24,Objc,NTN[,wayq,qal,L
27433,Genesis,48,7,Cmpl,RGZ[,impf,qal,B
28002,Genesis,49,17,Cmpl,MWT[,perf,qal,<L
30075,Exodus,3,18,Pred,HJH[,impf,qal,<L
30673,Exodus,4,24,Cmpl,HLK[,impf,qal,B
30862,Exodus,5,3,Pred,HJH[,wayq,qal,B
32896,Exodus,8,22,Pred,HLK[,impf,qal,B
36113,Exodus,13,17,Pred,HLK[,impf,qal,B
36138,Exodus,13,18,Objc,HLK[,impf,qal,B
36201,Exodus,13,21,Cmpl,SBB[,wayq,hif,B
38890,Exodus,18,20,Objc,SBB[,wayq,hif,B
46663,Exodus,32,8,Objc,JD<[,perf,hif,L
47588,Exodus,33,13,Cmpl,SWR[,perf,qal,MN
68524,Leviticus,26,22,Objc,SWR[,perf,qal,MN
76000,Numbers,9,13,Pred,CMM[,perf,nif,MN
76739,Numbers,10,33,Pred,HJH[,perf,qal,MN
76749,Numbers,10,33,Cmpl,NS<[,wayq,qal,MN
77484,Numbers,11,31,Cmpl,NS<[,wayq,qal,L
78924,Numbers,14,25,Cmpl,NVC[,wayq,qal,<L
82893,Numbers,20,17,Cmpl,NS<[,impv,qal,<L
83136,Numbers,21,1,Pred,HLK[,impf,qal,<L
83198,Numbers,21,4,Cmpl,BW>[,perf,qal,<L
83213,Numbers,21,4,Cmpl,NS<[,wayq,qal,MN
83540,Numbers,21,22,Cmpl,QYR[,wayq,qal,B
83733,Numbers,21,33,Pred,HLK[,impf,qal,B
84252,Numbers,22,22,Cmpl,<LH[,wayq,qal,B
84275,Numbers,22,23,Cmpl,JYB[,wayq,hit,B
84287,Numbers,22,23,Cmpl,JYB[,wayq,hit,B
84302,Numbers,22,23,Cmpl,NVH[,wayq,qal,MN
84463,Numbers,22,31,Cmpl,NVH[,wayq,qal,MN
84496,Numbers,22,32,Cmpl,NVH[,wayq,qal,B
85618,Numbers,24,25,Cmpl,JRV[,perf,qal,L
90802,Numbers,33,8,Cmpl,HLK[,perf,qal,L
93200,Deuteronomy,1,19,Cmpl,HLK[,wayq,qal,B
93272,Deuteronomy,1,22,Objc,JR>[,ptca,nif,B
93473,Deuteronomy,1,33,Objc,CWB[,impf,hif,B
93488,Deuteronomy,1,33,Cmpl,CWB[,impf,hif,L
93621,Deuteronomy,1,40,Cmpl,CWB[,impf,hif,B
93754,Deuteronomy,2,1,Cmpl,NS<[,impv,qal,B
93889,Deuteronomy,2,8,Cmpl,NS<[,wayq,qal,B
93901,Deuteronomy,2,8,Cmpl,<BR[,wayq,qal,MN
94258,Deuteronomy,2,27,Pred,<BR[,wayq,qal,MN
94488,Deuteronomy,3,1,Pred,HLK[,impf,qal,B
96942,Deuteronomy,5,33,Cmpl,<LH[,wayq,qal,B
97094,Deuteronomy,6,7,Pred,HLK[,impf,qal,B
98027,Deuteronomy,8,2,Cmpl,HLK[,impf,qal,B
98125,Deuteronomy,8,6,Objc,ZKR[,perf,qal,B
98725,Deuteronomy,9,12,Cmpl,HLK[,infc,qal,B
98808,Deuteronomy,9,16,Cmpl,SWR[,perf,qal,MN
99403,Deuteronomy,10,12,Cmpl,SWR[,perf,qal,MN
100008,Deuteronomy,11,19,Cmpl,HLK[,infc,qal,B
100072,Deuteronomy,11,22,Cmpl,HLK[,infc,qal,B
100187,Deuteronomy,11,28,Cmpl,HLK[,infc,qal,B
101160,Deuteronomy,13,6,Cmpl,SWR[,perf,qal,MN
101835,Deuteronomy,14,24,Cmpl,SWR[,perf,qal,MN
103345,Deuteronomy,17,16,Pred,RBH[,impf,qal,MN
103908,Deuteronomy,19,3,Cmpl,CWB[,infc,qal,B
104010,Deuteronomy,19,6,Objc,KWN[,impf,hif,L
104086,Deuteronomy,19,9,Pred,RBH[,impf,qal,L
105362,Deuteronomy,22,4,Cmpl,HLK[,infc,qal,B
105396,Deuteronomy,22,6,Cmpl,HLK[,infc,qal,B
105965,Deuteronomy,23,5,Pred,QR>=[,impf,nif,B
106548,Deuteronomy,24,9,Cmpl,QDM[,perf,piel,B
107098,Deuteronomy,25,17,Cmpl,<FH[,perf,qal,L
107591,Deuteronomy,26,17,Cmpl,<FH[,perf,qal,L
107987,Deuteronomy,27,18,Cmpl,HLK[,infc,qal,B
108199,Deuteronomy,28,7,Objc,HLK[,infc,qal,B
108206,Deuteronomy,28,7,Cmpl,JY>[,impf,qal,>L
108252,Deuteronomy,28,9,Cmpl,NWS[,impf,qal,L
108569,Deuteronomy,28,25,Cmpl,HLK[,perf,qal,B
108576,Deuteronomy,28,25,Cmpl,JY>[,impf,qal,>L
108658,Deuteronomy,28,29,Cmpl,NWS[,impf,qal,L
109483,Deuteronomy,28,68,Objc,YLX[,impf,hif,L
110521,Deuteronomy,30,16,Cmpl,YLX[,impf,hif,L
111400,Deuteronomy,31,29,Cmpl,HLK[,infc,qal,B
113115,Joshua,1,8,Cmpl,SWR[,perf,qal,MN
113506,Joshua,2,7,Objc,YLX[,impf,hif,MN
113750,Joshua,2,16,Cmpl,RDP[,perf,qal,MN
113887,Joshua,2,22,Cmpl,HLK[,impf,qal,L
114028,Joshua,3,4,Cmpl,BQC[,wayq,piel,B
114037,Joshua,3,4,Objc,JD<[,impf,qal,B
115046,Joshua,5,4,Cmpl,<BR[,perf,qal,B
115144,Joshua,5,7,Pred,MWT[,perf,qal,B
117192,Joshua,8,15,Objc,MWL[,perf,qal,B
117978,Joshua,9,11,Cmpl,NWS[,wayq,qal,B
118033,Joshua,9,13,Objc,LQX[,impv,qal,B
120088,Joshua,12,3,Pred,BLH[,perf,qal,B
125349,Joshua,22,5,Cmpl,BLH[,perf,qal,MN
126517,Joshua,23,14,Cmpl,HLK[,infc,qal,B
127095,Joshua,24,17,Cmpl,HLK[,infc,qal,B
128560,Judges,2,17,Cmpl,HLK[,infc,qal,B
128630,Judges,2,19,Cmpl,SWR[,perf,qal,MN
128685,Judges,2,22,Cmpl,NPL[,perf,hif,MN
129568,Judges,4,9,Objc,NPL[,perf,hif,MN
130091,Judges,5,10,Pred,HJH[,impf,qal,MN
132367,Judges,8,11,Cmpl,HJH[,impf,qal,<L
133402,Judges,9,25,Cmpl,<LH[,wayq,qal,<L
133673,Judges,9,37,Cmpl,<BR[,impf,qal,<L
138181,Judges,17,8,Cmpl,<NN[,ptca,piel,MN
138433,Judges,18,5,Objc,<FH[,infc,qal,MN
138934,Judges,18,26,Pred,YLX[,impf,hif,MN
139318,Judges,19,9,Cmpl,HLK[,wayq,qal,L
139788,Judges,19,27,Cmpl,CKM[,perf,hif,L
140848,Judges,20,42,Cmpl,HLK[,infc,qal,L
141890,1_Samuel,1,18,Cmpl,PNH[,wayq,qal,>L
143578,1_Samuel,4,13,Cmpl,HLK[,wayq,qal,L
144330,1_Samuel,6,9,Cmpl,HLK[,wayq,qal,<L
144407,1_Samuel,6,12,Cmpl,<LH[,impf,qal,<L
145119,1_Samuel,8,3,Cmpl,JCR[,wayq,qal,<L
145153,1_Samuel,8,5,Cmpl,HLK[,perf,qal,B
145641,1_Samuel,9,6,Cmpl,HLK[,perf,qal,B
145703,1_Samuel,9,8,Objc,NGD[,impf,hif,L
147751,1_Samuel,12,23,Objc,NGD[,perf,hif,L
148180,1_Samuel,13,17,Cmpl,JRH[,perf,hif,B
148190,1_Samuel,13,18,Cmpl,PNH[,impf,qal,>L
148197,1_Samuel,13,18,Cmpl,PNH[,impf,qal,>L
149569,1_Samuel,15,2,Cmpl,PNH[,impf,qal,>L
149920,1_Samuel,15,18,Cmpl,FJM[,perf,qal,B
149970,1_Samuel,15,20,Cmpl,FJM[,perf,qal,B
152037,1_Samuel,17,52,Cmpl,HLK[,wayq,qal,B
152444,1_Samuel,18,14,Cmpl,NPL[,wayq,qal,B
156023,1_Samuel,24,4,Cmpl,HJH[,wayq,qal,L
156155,1_Samuel,24,8,Cmpl,BW>[,wayq,qal,<L
156415,1_Samuel,24,20,Cmpl,HLK[,wayq,qal,B
156744,1_Samuel,25,12,Cmpl,HLK[,wayq,qal,B
158196,1_Samuel,26,25,Cmpl,HPK[,wayq,qal,L
159054,1_Samuel,28,22,Cmpl,HLK[,wayq,qal,L
159489,1_Samuel,30,2,Cmpl,HLK[,impf,qal,B
162767,2_Samuel,4,7,Cmpl,HLK[,wayq,qal,L
165924,2_Samuel,11,10,Cmpl,HLK[,wayq,qal,L
167923,2_Samuel,13,34,Cmpl,HLK[,wayq,qal,MN
168901,2_Samuel,15,2,Cmpl,HLK[,wayq,qal,MN
169427,2_Samuel,15,23,Cmpl,<MD[,perf,qal,<L
170068,2_Samuel,16,13,Cmpl,<MD[,perf,qal,>T
171668,2_Samuel,18,23,Cmpl,HLK[,wayq,qal,B
174516,2_Samuel,22,22,Cmpl,RWY[,wayq,qal,B
174625,2_Samuel,22,33,Objc,CMR[,perf,qal,B
177175,1_Kings,1,49,Objc,NTR[,wayq,hif,B
177291,1_Kings,2,2,Cmpl,NTR[,wayq,hif,L
177310,1_Kings,2,3,Cmpl,NTR[,wayq,hif,B
177351,1_Kings,2,4,Cmpl,HLK[,infc,qal,B
178717,1_Kings,3,14,Objc,CMR[,impf,qal,B
182618,1_Kings,8,25,Cmpl,HLK[,impf,qal,B
182792,1_Kings,8,32,Objc,CMR[,impf,qal,B
182895,1_Kings,8,36,Cmpl,NTN[,infc,qal,B
182983,1_Kings,8,39,Objc,NTN[,infc,qal,B
183109,1_Kings,8,44,Cmpl,NTN[,perf,qal,L
183116,1_Kings,8,44,Cmpl,>JB[,ptca,qal,B
183211,1_Kings,8,48,Cmpl,PLL[,perf,hit,>L
183418,1_Kings,8,58,Cmpl,PLL[,perf,hit,>L
185612,1_Kings,11,29,Cmpl,HLK[,infc,qal,B
185715,1_Kings,11,33,Cmpl,MY>[,wayq,qal,B
185823,1_Kings,11,38,Cmpl,HLK[,perf,qal,B
187032,1_Kings,13,9,Cmpl,HLK[,perf,qal,B
187038,1_Kings,13,10,Cmpl,CWB[,impf,qal,B
187045,1_Kings,13,10,Cmpl,HLK[,wayq,qal,B
187103,1_Kings,13,12,Cmpl,CWB[,perf,qal,B
187211,1_Kings,13,17,Objc,R>H[,wayq,qal,B
187352,1_Kings,13,24,Cmpl,HLK[,infc,qal,B
187361,1_Kings,13,24,Cmpl,HLK[,infc,qal,B
187417,1_Kings,13,26,Cmpl,HJH[,wayq,qal,B
187595,1_Kings,13,33,Cmpl,HJH[,wayq,qal,MN
188893,1_Kings,15,26,Cmpl,CWB[,perf,qal,MN
189049,1_Kings,15,34,Cmpl,HLK[,wayq,qal,B
189085,1_Kings,16,2,Cmpl,HLK[,wayq,qal,B
189470,1_Kings,16,19,Cmpl,HLK[,wayq,qal,B
189618,1_Kings,16,26,Cmpl,HLK[,infc,qal,B
190447,1_Kings,18,6,Cmpl,HLK[,wayq,qal,B
190455,1_Kings,18,6,Cmpl,HLK[,perf,qal,B
190464,1_Kings,18,7,Cmpl,HLK[,perf,qal,B
191308,1_Kings,18,43,Pred,HJH[,wayq,qal,B
191468,1_Kings,19,4,Objc,NBV[,impv,hif,B
191548,1_Kings,19,7,Objc,HLK[,perf,qal,B
191756,1_Kings,19,15,Cmpl,HLK[,perf,qal,MN
192858,1_Kings,20,38,Cmpl,CWB[,impv,qal,L
194566,1_Kings,22,43,Cmpl,<MD[,wayq,qal,<L
194727,1_Kings,22,53,Cmpl,HLK[,wayq,qal,B
195787,2_Kings,2,23,Cmpl,HLK[,wayq,qal,B
196008,2_Kings,3,9,Cmpl,HLK[,wayq,qal,B
196267,2_Kings,3,20,Pred,SBB[,wayq,qal,B
199364,2_Kings,7,15,Cmpl,SBB[,wayq,qal,MN
199969,2_Kings,8,18,Objc,SBB[,wayq,qal,MN
200158,2_Kings,8,27,Cmpl,HLK[,wayq,qal,B
200904,2_Kings,9,27,Cmpl,HLK[,wayq,qal,B
202421,2_Kings,11,16,Cmpl,NWS[,wayq,qal,B
202528,2_Kings,11,19,Cmpl,BW>[,wayq,qal,B
205084,2_Kings,16,3,Cmpl,BW>[,wayq,qal,B
205833,2_Kings,17,13,Cmpl,HLK[,wayq,qal,B
207989,2_Kings,19,28,Cmpl,CWB[,impv,qal,MN
208084,2_Kings,19,33,Cmpl,CWB[,impv,qal,B
209135,2_Kings,21,21,Pred,CWB[,impf,qal,B
209160,2_Kings,21,22,Cmpl,HLK[,wayq,qal,B
209260,2_Kings,22,2,Cmpl,HLK[,perf,qal,B
211419,2_Kings,25,4,Cmpl,HLK[,wayq,qal,B
